SpGnss : begin in
SpGnss : begin out
SpGnss : start in
  mode = COLD_START
SpGnss : start out
Gnss setup OK 

1980/01/06 00:00:01.000490, numSat: 0, pos not fixed 

1980/01/06 00:00:02.000505, numSat: 1, pos not fixed 

1980/01/06 00:00:03.000515, numSat: 2, pos not fixed 

1980/01/06 00:00:04.000502, numSat: 2, pos not fixed 

1980/01/06 00:00:05.000514, numSat: 1, pos not fixed 

1980/01/06 00:00:06.000490, numSat: 0, pos not fixed 

1980/01/06 00:00:07.000501, numSat: 1, pos not fixed 

1980/01/06 00:00:08.000497, numSat: 1, pos not fixed 

1980/01/06 00:00:09.000508, numSat: 0, pos not fixed 

1980/01/06 00:00:10.000494, numSat: 0, pos not fixed 

1980/01/06 00:00:11.000499, numSat: 0, pos not fixed 

1980/01/06 00:00:12.000496, numSat: 0, pos not fixed 

1980/01/06 00:00:13.000506, numSat: 0, pos not fixed 

1980/01/06 00:00:14.000494, numSat: 1, pos not fixed 

1980/01/06 00:00:15.000513, numSat: 1, pos not fixed 

1980/01/06 00:00:16.000508, numSat: 1, pos not fixed 

1980/01/06 00:00:17.000510, numSat: 0, pos not fixed 

1980/01/06 00:00:18.000495, numSat: 1, pos not fixed 

1980/01/06 00:00:19.000494, numSat: 1, pos not fixed 

1980/01/06 00:00:20.000489, numSat: 0, pos not fixed 

1980/01/06 00:00:21.000506, numSat: 0, pos not fixed 

1980/01/06 00:00:22.000514, numSat: 0, pos not fixed 

1980/01/06 00:00:23.000518, numSat: 1, pos not fixed 

1980/01/06 00:00:24.000503, numSat: 1, pos not fixed 

1980/01/06 00:00:25.000504, numSat: 0, pos not fixed 

1980/01/06 00:00:26.000518, numSat: 1, pos not fixed 

1980/01/06 00:00:27.000502, numSat: 1, pos not fixed 

1980/01/06 00:00:28.000506, numSat: 1, pos not fixed 

1980/01/06 00:00:29.000505, numSat: 0, pos not fixed 

1980/01/06 00:00:30.000517, numSat: 0, pos not fixed 

1980/01/06 00:00:31.000516, numSat: 0, pos not fixed 

1980/01/06 00:00:32.000509, numSat: 0, pos not fixed 

1980/01/06 00:00:33.000518, numSat: 0, pos not fixed 

1980/01/06 00:00:34.000513, numSat: 0, pos not fixed 

1980/01/06 00:00:35.000509, numSat: 0, pos not fixed 

1980/01/06 00:00:36.000518, numSat: 0, pos not fixed 

1980/01/06 00:00:37.000652, numSat: 0, pos not fixed 

1980/01/06 00:00:38.000621, numSat: 0, pos not fixed 

1980/01/06 00:00:39.000597, numSat: 0, pos not fixed 

1980/01/06 00:00:40.000546, numSat: 0, pos not fixed 

1980/01/06 00:00:41.000483, numSat: 0, pos not fixed 

1980/01/06 00:00:42.000511, numSat: 0, pos not fixed 

1980/01/06 00:00:43.000629, numSat: 0, pos not fixed 

1980/01/06 00:00:44.000632, numSat: 0, pos not fixed 

1980/01/06 00:00:45.000627, numSat: 0, pos not fixed 

1980/01/06 00:00:46.000628, numSat: 0, pos not fixed 

1980/01/06 00:00:47.000610, numSat: 0, pos not fixed 

1980/01/06 00:00:48.000503, numSat: 1, pos not fixed 

1980/01/06 00:00:49.000517, numSat: 2, pos not fixed 

1980/01/06 00:00:50.000513, numSat: 2, pos not fixed 

1980/01/06 00:00:51.000514, numSat: 1, pos not fixed 

1980/01/06 00:00:52.000493, numSat: 1, pos not fixed 

1980/01/06 00:00:53.000504, numSat: 1, pos not fixed 

1980/01/06 00:00:54.000511, numSat: 1, pos not fixed 

1980/01/06 00:00:55.000506, numSat: 2, pos not fixed 

1980/01/06 00:00:56.000517, numSat: 2, pos not fixed 

1980/01/06 00:00:57.000494, numSat: 1, pos not fixed 

1980/01/06 00:00:58.000513, numSat: 1, pos not fixed 

1980/01/06 00:00:59.000503, numSat: 1, pos not fixed 

numSatellites: 2
[ 0] Type:GPS, Id:12, Elv: 0, Azm:  0, Lv:16.000000 

[ 1] Type:GPS, Id:22, Elv: 0, Azm:  0, Lv:8.000000 

1980/01/06 00:01:00.000503, numSat: 2, pos not fixed 

1980/01/06 00:01:01.000497, numSat: 1, pos not fixed 

1980/01/06 00:01:02.000489, numSat: 0, pos not fixed 

1980/01/06 00:01:03.000512, numSat: 0, pos not fixed 

1980/01/06 00:01:04.000501, numSat: 0, pos not fixed 

1980/01/06 00:01:05.000503, numSat: 0, pos not fixed 

1980/01/06 00:01:06.000519, numSat: 2, pos not fixed 

1980/01/06 00:01:07.000671, numSat: 3, pos not fixed 

1980/01/06 00:01:08.000714, numSat: 1, pos not fixed 

1980/01/06 00:01:09.000617, numSat: 1, pos not fixed 

1980/01/06 00:01:10.000704, numSat: 1, pos not fixed 

1980/01/06 00:01:11.000706, numSat: 1, pos not fixed 

1980/01/06 00:01:12.000709, numSat: 1, pos not fixed 

1980/01/06 00:01:13.000509, numSat: 1, pos not fixed 

1980/01/06 00:01:14.000513, numSat: 1, pos not fixed 

1980/01/06 00:01:15.000492, numSat: 0, pos not fixed 

1980/01/06 00:01:16.000507, numSat: 0, pos not fixed 

1980/01/06 00:01:17.000519, numSat: 0, pos not fixed 

1980/01/06 00:01:18.000501, numSat: 1, pos not fixed 

1980/01/06 00:01:19.000504, numSat: 1, pos not fixed 

1980/01/06 00:01:20.000506, numSat: 0, pos not fixed 

1980/01/06 00:01:21.000493, numSat: 0, pos not fixed 

1980/01/06 00:01:22.000497, numSat: 0, pos not fixed 

1980/01/06 00:01:23.000516, numSat: 0, pos not fixed 

1980/01/06 00:01:24.000490, numSat: 0, pos not fixed 

1980/01/06 00:01:25.000493, numSat: 0, pos not fixed 

1980/01/06 00:01:26.000515, numSat: 0, pos not fixed 

1980/01/06 00:01:27.000502, numSat: 0, pos not fixed 

1980/01/06 00:01:28.000497, numSat: 0, pos not fixed 

1980/01/06 00:01:29.000494, numSat: 0, pos not fixed 

1980/01/06 00:01:30.000504, numSat: 0, pos not fixed 

1980/01/06 00:01:31.000497, numSat: 0, pos not fixed 

1980/01/06 00:01:32.000512, numSat: 0, pos not fixed 

1980/01/06 00:01:33.000501, numSat: 0, pos not fixed 

1980/01/06 00:01:34.000511, numSat: 0, pos not fixed 

1980/01/06 00:01:35.000518, numSat: 0, pos not fixed 

1980/01/06 00:01:36.000489, numSat: 2, pos not fixed 

1980/01/06 00:01:37.000504, numSat: 3, pos not fixed 

1980/01/06 00:01:38.000492, numSat: 3, pos not fixed 

1980/01/06 00:01:39.000504, numSat: 3, pos not fixed 

1980/01/06 00:01:40.000504, numSat: 3, pos not fixed 

SpGnss : begin in
SpGnss : begin out
SpGnss : start in
  mode = COLD_START
SpGnss : start out
Gnss setup OK 

1980/01/06 00:00:01.000512, numSat: 0, pos not fixed 

1980/01/06 00:00:02.000512, numSat: 3, pos not fixed 

1980/01/06 00:00:03.000492, numSat: 6, pos not fixed 

1980/01/06 00:00:04.000508, numSat: 6, pos not fixed 

1980/01/06 00:00:05.000509, numSat: 6, pos not fixed 

1980/01/06 00:00:06.000505, numSat: 6, pos not fixed 

1980/01/06 00:00:07.000490, numSat: 6, pos not fixed 

1980/01/06 00:00:08.000495, numSat: 5, pos not fixed 

1980/01/06 00:00:09.000511, numSat: 5, pos not fixed 

1980/01/06 00:00:10.000601, numSat: 5, pos not fixed 

1980/01/06 00:00:11.000632, numSat: 6, pos not fixed 

1980/01/06 00:00:12.000622, numSat: 6, pos not fixed 

1980/01/06 00:00:13.000603, numSat: 6, pos not fixed 

1980/01/06 00:00:14.000612, numSat: 6, pos not fixed 

1980/01/06 00:00:15.000602, numSat: 6, pos not fixed 

1980/01/06 00:00:16.000489, numSat: 6, pos not fixed 

1980/01/06 00:00:17.000517, numSat: 5, pos not fixed 

1980/01/06 00:00:18.000512, numSat: 5, pos not fixed 

1980/01/06 00:00:19.000511, numSat: 7, pos not fixed 

1980/01/06 00:00:20.000492, numSat: 7, pos not fixed 

1980/01/06 00:00:21.000490, numSat: 5, pos not fixed 

1980/01/06 00:00:22.000509, numSat: 5, pos not fixed 

1980/01/06 00:00:23.000512, numSat: 5, pos not fixed 

1980/01/06 00:00:24.000510, numSat: 5, pos not fixed 

1980/01/06 00:00:25.000517, numSat: 6, pos not fixed 

1980/01/06 00:00:26.000507, numSat: 6, pos not fixed 

1980/01/06 00:00:27.000510, numSat: 6, pos not fixed 

1980/01/06 00:00:28.000503, numSat: 6, pos not fixed 

1980/01/06 00:00:29.000498, numSat: 6, pos not fixed 

1980/01/06 00:00:30.000490, numSat: 6, pos not fixed 

1980/01/06 00:00:31.000517, numSat: 6, pos not fixed 

1980/01/06 00:00:32.000490, numSat: 7, pos not fixed 

1980/01/06 00:00:33.000507, numSat: 7, pos not fixed 

1980/01/06 00:00:34.000502, numSat: 6, pos not fixed 

1980/01/06 00:00:35.000508, numSat: 5, pos not fixed 

1980/01/06 00:00:36.000616, numSat: 6, pos not fixed 

1980/01/06 00:00:37.000591, numSat: 6, pos not fixed 

